task,repo,n,npass,p,v,keep,gt_class,gt_rank
numpy:1842ea98e764d48e4d82636c995b86d1926fd124,numpy,16,15,0.9375,0.4033,1,learnable,2147
numpy:b10b4087132d51ee33bf5e0777282af23d6ee3cd,numpy,16,15,0.9375,0.4033,1,learnable,2148
numpy:715daa97ad716da52ada07eb10cc37b314428311,numpy,16,15,0.9375,0.4033,1,learnable,2149
numpy:37e4d58f2ec36de226917d215f3dbe4c893da752,numpy,16,15,0.9375,0.4033,1,learnable,2150
numpy:a754567bf3bd02ea45fed55178d843657fa35be5,numpy,16,1,0.0625,0.4033,1,learnable,2151
numpy:528c8c8d8a06116ac2786279a4228290c158a1ab,numpy,16,1,0.0625,0.4033,1,learnable,2152
numpy:e20d4b91d00cea1cf495d4cb85ee9bc2b7930a3d,numpy,16,1,0.0625,0.4033,1,learnable,2153
numpy:b3c0960a54c81a26bd07912dda96db9e356b34d1,numpy,16,1,0.0625,0.4033,1,learnable,2154
numpy:7127cdfb8553030ba317455c9f31fe4d7ed74e81,numpy,16,1,0.0625,0.4033,1,learnable,2155
numpy:1466e788a43b8d4356fe35951bf0c3b0aedb554f,numpy,16,1,0.0625,0.4033,1,learnable,2156
numpy:dc535524e57f42a3407c068327d972996450574e,numpy,16,1,0.0625,0.4033,1,learnable,2157
numpy:2aad439eec34a80aaac0fd61a9b8de809710efa5,numpy,16,1,0.0625,0.4033,1,learnable,2158
numpy:71555c48be7f07833bd540dacb50deb8069b551f,numpy,16,1,0.0625,0.4033,1,learnable,2159
numpy:1c86cdd469a5034cb136130722a58adf062056fd,numpy,16,1,0.0625,0.4033,1,learnable,2160
numpy:6153a705c3bf30992ff5bd064ff0507ac78300e4,numpy,16,1,0.0625,0.4033,1,learnable,2161
numpy:2b51aa217bb7577f6c43c26f1156d9fc29536f96,numpy,16,1,0.0625,0.4033,1,learnable,2162
numpy:8b1b7f12a53f1a45f5572de3d704d894a60fa1c4,numpy,16,1,0.0625,0.4033,1,learnable,2163
numpy:83c6d769e00e5ee424221244d9d2be474c1fe532,numpy,16,1,0.0625,0.4033,1,learnable,2164
numpy:f0ffd58e7dbe8f4b111b0c090e8df0c3b779e1fe,numpy,16,1,0.0625,0.4033,1,learnable,2165
numpy:090e85e7bd77e67c8b6bac63fc4b22331eac1950,numpy,16,1,0.0625,0.4033,1,learnable,2166
numpy:0ec93b048c401b61aadbbb143bec6f40c6a2027c,numpy,16,1,0.0625,0.4033,1,learnable,2167
numpy:8969da59ea9803b81b0dcb2fab3f41d4b168bc68,numpy,16,1,0.0625,0.4033,1,learnable,2168
numpy:3c4db4111947270b97ae032f02b6f60d8e20bbbd,numpy,16,1,0.0625,0.4033,1,learnable,2169
numpy:b60f33dd0747574570764ac8072386dccc85dd44,numpy,16,1,0.0625,0.4033,1,learnable,2170
numpy:8ec391a3384fc1637e3a6ba0a6a6a7b06a348ea1,numpy,16,1,0.0625,0.4033,1,learnable,2171
numpy:37d301949af456a7aa006ae79bfec910146732f8,numpy,16,1,0.0625,0.4033,1,learnable,2172
numpy:9fa0dba63ac76a43a157e07c2a43f4678355653e,numpy,16,1,0.0625,0.4033,1,learnable,2173
numpy:927e8809cb566722b1bd0b15dca9f030f3cd29b9,numpy,24,23,0.9583,0.2886,1,learnable,2271
numpy:171a3e5811e43643788c20075be9ba52efb83b81,numpy,24,23,0.9583,0.2886,1,learnable,2272
numpy:181c15b294d6dd164e4c41ddbb1c5feae9b5beee,numpy,24,23,0.9583,0.2886,1,learnable,2273
numpy:f0c9703bd4bbc8d31c6ef5d94c141ec766f33dbc,numpy,24,23,0.9583,0.2886,1,learnable,2274
numpy:af95739054cb3707447834861820c4231b1bc5e1,numpy,24,23,0.9583,0.2886,1,learnable,2275
numpy:19a2f21583eea74ebe012f5481e19a6252383835,numpy,24,23,0.9583,0.2886,1,learnable,2276
numpy:67aa4e738bf4298f1ccf0411f8df6116861adab1,numpy,24,23,0.9583,0.2886,1,learnable,2277
numpy:a8449b52163f871b75a4873a9543db6612d38ccf,numpy,24,23,0.9583,0.2886,1,learnable,2278
numpy:fc5d32af378dcb86ec05fd0a2b63c5bdaef37cc8,numpy,24,23,0.9583,0.2886,1,learnable,2279
numpy:c5b90eb1db7b1318b52f6891fea6a6059c90fe70,numpy,24,1,0.0417,0.2886,1,learnable,2361
numpy:82e0860e2d126aaf2d7ab09b0da13e04b5a32658,numpy,24,1,0.0417,0.2886,1,learnable,2362
numpy:36bc343495ef7aa45f7d8540040cb9f577ef22fa,numpy,24,1,0.0417,0.2886,1,learnable,2363
numpy:b03fab8dad4a165e25739f2081e3936b522554ac,numpy,24,1,0.0417,0.2886,1,learnable,2364
numpy:9aff656065f2749b83abf127472cafc28e235222,numpy,24,1,0.0417,0.2886,1,learnable,2365
numpy:ea5202880e2e1876d9baa2a65e7987c99be0459b,numpy,24,1,0.0417,0.2886,1,learnable,2366
numpy:60b3727e6937891a9b91bac4ffb097bb3b5bd25d,numpy,24,1,0.0417,0.2886,1,learnable,2367
numpy:bdd4558c2643c93957b7f00f2604da33ee72f83d,numpy,24,1,0.0417,0.2886,1,learnable,2368
numpy:6f009fce15e7bea11c31c871170a37071761eac4,numpy,24,1,0.0417,0.2886,1,learnable,2369
numpy:f297d317f9d2355228fb3a265e9ff3c69e37b1e2,numpy,24,1,0.0417,0.2886,1,learnable,2370
numpy:a4e47e0205b78eb96248e71918c2558e25a9d3c7,numpy,24,1,0.0417,0.2886,1,learnable,2371
numpy:9d69ad78cdcb93b378a734e938372941cb3e9a23,numpy,24,1,0.0417,0.2886,1,learnable,2372
numpy:2d140f11857fc1353d6b2dcbb801e693128fd09a,numpy,24,1,0.0417,0.2886,1,learnable,2373
numpy:56848bbd2a56209a6ea836fb23e57061825b3052,numpy,24,1,0.0417,0.2886,1,learnable,2374
numpy:d647ef2d98852e322d487d6045d5860223dcda79,numpy,24,1,0.0417,0.2886,1,learnable,2375
numpy:7a2ded1522305cfbab4e34a18198f3cbcae7755c,numpy,24,1,0.0417,0.2886,1,learnable,2376
numpy:fa56437c4eb4ca0c2a97597700a3fc6ad36963fa,numpy,24,1,0.0417,0.2886,1,learnable,2377
numpy:f12c63297fecdff294af209032d0690c6c2a1c0d,numpy,24,1,0.0417,0.2886,1,learnable,2378
numpy:7be18edfaae4d0ba6a888160d1cc57c453b568f2,numpy,24,1,0.0417,0.2886,1,learnable,2379
numpy:912e24a4ac2d0470bb18d659d325197bbfc18114,numpy,24,1,0.0417,0.2886,1,learnable,2380
numpy:f3682860cfe28cd73f46ae290add5d6fdbe43c89,numpy,24,1,0.0417,0.2886,1,learnable,2381
numpy:e62aa4968dd0926cf8307a24f06ae0bad4bdabc5,numpy,24,1,0.0417,0.2886,1,learnable,2382
numpy:dd866e3eb0371103fc30dffd743953bd927033a2,numpy,24,1,0.0417,0.2886,1,learnable,2383
numpy:046cd82608951f68b09f5c9e749d1193b41f2328,numpy,24,1,0.0417,0.2886,1,learnable,2384
numpy:dd8a2a8e29b0dc85dca4d2964c92df3604acc212,numpy,24,1,0.0417,0.2886,1,learnable,2385
numpy:d9c1a1f91a3983469de7086ff589a6aeaa353b3e,numpy,24,1,0.0417,0.2886,1,learnable,2386
numpy:ba6fdacd434a70496cfc61240e34045b6a6550a7,numpy,24,1,0.0417,0.2886,1,learnable,2387
numpy:ed75d97949efac09189ddafa165dd7ec875612c1,numpy,24,1,0.0417,0.2886,1,learnable,2388
numpy:e30d80266d476841e51d36432d1640f278a5fa05,numpy,24,1,0.0417,0.2886,1,learnable,2389
numpy:8ed017a30c8ec60f17538c585f87415a1ca989fc,numpy,24,1,0.0417,0.2886,1,learnable,2390
numpy:4dead884769118cd9af8bd5210273291804429e7,numpy,24,24,1.0000,0.0000,0,trivial,2785
numpy:fe0cb80d225508813de21e048c2f1529c2dc6a75,numpy,24,24,1.0000,0.0000,0,trivial,2786
numpy:7a181643665a1a71cb720baecf3713767650a64f,numpy,16,16,1.0000,0.0000,0,trivial,2787
numpy:437534b06bf7ccd744170accd4283f39eeb26e57,numpy,24,24,1.0000,0.0000,0,trivial,2788
numpy:470d53fc6bc8267fec7d7cf5c7116d5e7437d789,numpy,24,24,1.0000,0.0000,0,trivial,2789
numpy:019c8c9b2a7c084eb01cf4d8569799a5537d884d,numpy,24,24,1.0000,0.0000,0,trivial,2790
numpy:ff8b0b21e0f17dbcc94fc87ba1194dcbbbe15432,numpy,16,16,1.0000,0.0000,0,trivial,2791
numpy:41aee80cc64d5679ca8cb9e8ce6247c738b942d4,numpy,24,24,1.0000,0.0000,0,trivial,2792
numpy:5b63f260933672b7182daf4fb15ffcd15bae68bf,numpy,24,24,1.0000,0.0000,0,trivial,2793
numpy:d9b26f804117ebc1f591dff33d06ce2339af9339,numpy,24,24,1.0000,0.0000,0,trivial,2794
numpy:9cc55dc7720a949cb3e6578805fe6f70906a700e,numpy,24,24,1.0000,0.0000,0,trivial,2795
numpy:8aa121415760cc6839a546c3f84e238d1dfa1aa6,numpy,24,24,1.0000,0.0000,0,trivial,2796
numpy:476a69da3c435c9570aa36cf1ad78eba88d37ffe,numpy,24,24,1.0000,0.0000,0,trivial,2797
numpy:bf20e3034085716c4559ec4bf31b23b6016f266c,numpy,24,24,1.0000,0.0000,0,trivial,2798
numpy:575a48e0da892d447a4d884f024df82c567e6f3f,numpy,8,8,1.0000,0.0000,0,trivial,2799
numpy:682a6910ad8be25afc2e449f12b87c1c291dd1d1,numpy,16,16,1.0000,0.0000,0,trivial,2800
numpy:ce65f115c409a4a8089ace496e15bbfca566070b,numpy,24,24,1.0000,0.0000,0,trivial,2801
numpy:982cafd324d6b0a9c77b61f2ea3ca335812a2949,numpy,8,8,1.0000,0.0000,0,trivial,2802
numpy:6d52633c90ec6a669dae6a63fe6dac6d1a736cab,numpy,8,8,1.0000,0.0000,0,trivial,2803
numpy:6726bfb0601e834feea977fb4afce1bde753fa0b,numpy,8,8,1.0000,0.0000,0,trivial,2804
numpy:3fdf3270e6f47e65d8a8b4d995fc21f9b64650ee,numpy,16,16,1.0000,0.0000,0,trivial,2805
numpy:1b3e6f1d8dad0b3b7d8a0891dcb2050cdc023075,numpy,16,16,1.0000,0.0000,0,trivial,2806
numpy:7efd5cf4cc6cd45f6114fdbc3fbfd619ddf03deb,numpy,16,16,1.0000,0.0000,0,trivial,2807
numpy:0ae36289aa5104fce4e40c63ba46e19365f33b5d,numpy,8,8,1.0000,0.0000,0,trivial,2808
numpy:9cb5ac66edf2a8e14fc2774c6d0d61b772c46c7d,numpy,16,16,1.0000,0.0000,0,trivial,2809
numpy:abf3fe8e3814c41c9a79eac87f5b137a617d1184,numpy,8,8,1.0000,0.0000,0,trivial,2810
numpy:16331cc1cf9b2cf3505d0c4742a854dc00923d9d,numpy,8,8,1.0000,0.0000,0,trivial,2811
numpy:e52efca5accf06016ca4c1b180216e66db881ce2,numpy,8,8,1.0000,0.0000,0,trivial,2812
numpy:5f6be40bf009aa4438ec89310c4b55ce2eb9ee07,numpy,24,0,0.0000,0.0000,0,dead,2813
numpy:0a8ee4c52f5cecae999904f98a8a30ef81d52f7c,numpy,24,0,0.0000,0.0000,0,dead,2814
numpy:4c0747d5c2cb3c961f7246cd9222b89bdcf2ce42,numpy,16,0,0.0000,0.0000,0,dead,2815
numpy:ced6475d519552455cc50831052213c1249a909c,numpy,16,0,0.0000,0.0000,0,dead,2816
numpy:48cae084cd0c0dea86d3246cf02a01bfc202f5f4,numpy,16,0,0.0000,0.0000,0,dead,2817
numpy:ad238c1c3d5c136a61e795fc056373e0a1cbd8e1,numpy,16,0,0.0000,0.0000,0,dead,2818
numpy:7aa4f494e3dbd183d08d5130b52c0c62fa2af675,numpy,24,0,0.0000,0.0000,0,dead,2819
numpy:7f9a49b065fc02499da1bab084eb3e2c0e87b342,numpy,24,0,0.0000,0.0000,0,dead,2820
numpy:55002a5204240bfaabdc19bd670c50e47881247c,numpy,24,0,0.0000,0.0000,0,dead,2821
numpy:9d3f4757fe7600efc9c77aa945bea9476fa9dcd0,numpy,24,0,0.0000,0.0000,0,dead,2822
numpy:72e9072fadc048ef9fa4f76fbf37e31058b3e24a,numpy,24,0,0.0000,0.0000,0,dead,2823
numpy:7c4c213c7aaaa9abf02d254e6347b7c664b459df,numpy,24,0,0.0000,0.0000,0,dead,2824
numpy:2e4cd0d763265908d1143fcb5ca4ba8e3555a333,numpy,24,0,0.0000,0.0000,0,dead,2825
numpy:2c3ef4cbe8af6fddd82d7e90433f92b23cbcdd37,numpy,24,0,0.0000,0.0000,0,dead,2826
numpy:09dc8bcb8b729deb19e40fe9e9361690dc0113ec,numpy,24,0,0.0000,0.0000,0,dead,2827
numpy:76e2d4751294077cc4cafe155571ead8213133a8,numpy,16,0,0.0000,0.0000,0,dead,2828
numpy:4ed00c7e3b3206d4abf5536d4d0014fb08d22bc2,numpy,16,0,0.0000,0.0000,0,dead,2829
numpy:05aa44d53f4f9528847a0c014fe4bda5caa5fd3d,numpy,24,0,0.0000,0.0000,0,dead,2830
numpy:e7f84cdf526f872d797eba5786bd16e580212f4f,numpy,24,0,0.0000,0.0000,0,dead,2831
numpy:093c308fcc4249d8a0f1336827d8eb9ad1e7d274,numpy,24,0,0.0000,0.0000,0,dead,2832
numpy:afad5902f2e5086c9c30bdad8a21561e3188d816,numpy,24,0,0.0000,0.0000,0,dead,2833
numpy:4097ec3ec10c41d399518867f4bebb0a53ee8a5c,numpy,24,0,0.0000,0.0000,0,dead,2834
numpy:768bbec24fff74cb59a173accf7fbeda6aca89a1,numpy,24,0,0.0000,0.0000,0,dead,2835
numpy:58ebb6a7d77cf89afeb888a70aff23e03d213788,numpy,24,0,0.0000,0.0000,0,dead,2836
numpy:69cce4014fd16c5182e9d133a273ef29a5a70adc,numpy,24,0,0.0000,0.0000,0,dead,2837
numpy:9c7689794cf59fc0065da8bba1d97002c7be14e3,numpy,24,0,0.0000,0.0000,0,dead,2838
numpy:f30b2564d3923b2c307a026e4a22d20bc19872f0,numpy,24,0,0.0000,0.0000,0,dead,2839
numpy:50aa81362c9b81e4cc4926fd23adc7af6971a165,numpy,24,0,0.0000,0.0000,0,dead,2840
numpy:d6a8cabd725e93a1dcfc03f0b4154dd96fd4ce8f,numpy,16,0,0.0000,0.0000,0,dead,2841
numpy:6420f844824cdc327026302870b57dfd8c7481f7,numpy,16,0,0.0000,0.0000,0,dead,2842
numpy:2cf2db309dcbce5a99102d568f50e734633e2eb8,numpy,24,0,0.0000,0.0000,0,dead,2843
numpy:ce779dc607baa0630095dc456f5b9ad001095cca,numpy,24,0,0.0000,0.0000,0,dead,2844
numpy:4ec016784b02f69347c4429829b9eb8225ace5ee,numpy,24,0,0.0000,0.0000,0,dead,2845
numpy:d07e20ea2718c2d460a203f6775aef6cea8ba520,numpy,24,0,0.0000,0.0000,0,dead,2846
numpy:aef982e4482773e802cc0ef076bf5e76ff650cf9,numpy,24,0,0.0000,0.0000,0,dead,2847
numpy:9aea5a42bd8b74ffd2472d1e6c7761daca868a4a,numpy,16,0,0.0000,0.0000,0,dead,2848
numpy:bef927157ffee26ba8af19c773c18b0dbb1897ad,numpy,16,0,0.0000,0.0000,0,dead,2849
numpy:14445500bdf67600f926c6426bad55977441dca0,numpy,16,0,0.0000,0.0000,0,dead,2850
numpy:819b3a8a019469774a5343afd87ec71ec696bf80,numpy,16,0,0.0000,0.0000,0,dead,2851
numpy:3b3eaa60dc31677d1b19cb49e5c414d41ac4089a,numpy,16,0,0.0000,0.0000,0,dead,2852
numpy:3d43b3278bc62cbc6ec88e4e61f48ad7bd445b02,numpy,24,0,0.0000,0.0000,0,dead,2853
numpy:28fdcf3f19d2986a6760f96a53afa694abc737da,numpy,24,0,0.0000,0.0000,0,dead,2854
numpy:f902cfd0e10f3ceba461dd2cdce0c534674578e7,numpy,24,0,0.0000,0.0000,0,dead,2855
numpy:c05019eda16477f4be99f47755362c07e1acb5b8,numpy,16,0,0.0000,0.0000,0,dead,2856
numpy:684e4a92d5f8a9b8744ea7f994d636e7483e530f,numpy,8,0,0.0000,0.0000,0,dead,2857
numpy:6fb5327de77bed842c7583ab1ad70335044b7d87,numpy,24,0,0.0000,0.0000,0,dead,2858
numpy:db5750f6cdc2715f1c65be31f985e2cd2699d2e0,numpy,24,0,0.0000,0.0000,0,dead,2859
numpy:7254888b9ffe1f26ce59600ad31b7d4c9135c13d,numpy,24,0,0.0000,0.0000,0,dead,2860
numpy:fda7484cb572c8e6b50173784cb1498aca03a4e5,numpy,24,0,0.0000,0.0000,0,dead,2861
numpy:173fbc7009719ce802aa70634fb93031a0c00cfb,numpy,24,0,0.0000,0.0000,0,dead,2862
numpy:5ba2007c0b4cbe0bfb66f5a7e1928785c9449800,numpy,24,0,0.0000,0.0000,0,dead,2863
numpy:11c5a9f3fed6ccd2a8f77b22cc1abb405b9d24ab,numpy,24,0,0.0000,0.0000,0,dead,2864
numpy:9db6f384962e8ed75540f22f2e039ed6af1a4cbe,numpy,24,0,0.0000,0.0000,0,dead,2865
numpy:5718b3306303b4899c017641a9282714dcf8c9b8,numpy,24,0,0.0000,0.0000,0,dead,2866
numpy:10a7d4fbb219e9198e9fa2b7dc3c3dcef7b39149,numpy,24,0,0.0000,0.0000,0,dead,2867
numpy:c89273320a964e303121b4f42f08130e1e609499,numpy,24,0,0.0000,0.0000,0,dead,2868
numpy:a6efa09837b3a71eb6f6450b7dcf08c7381e75d0,numpy,24,0,0.0000,0.0000,0,dead,2869
numpy:1511c1f267c35b8e619b3b1c913f336ae7505910,numpy,24,0,0.0000,0.0000,0,dead,2870
numpy:0268680e5db25caeeb69bbb2e62ead3405c8f6f0,numpy,24,0,0.0000,0.0000,0,dead,2871
numpy:a6c2184c0dbc70b9a57fce21e4f769d313021261,numpy,24,0,0.0000,0.0000,0,dead,2872
numpy:7fbc43b98d59ef982671b456cebc229425ae7e4e,numpy,24,0,0.0000,0.0000,0,dead,2873
numpy:c1e66e4caf1a102a5f3f27456f4d683d4c38c2d0,numpy,24,0,0.0000,0.0000,0,dead,2874
numpy:1f4ed32fdf0cf2f197d9a8da5698580ed6ec7683,numpy,24,0,0.0000,0.0000,0,dead,2875
numpy:73a74e9e9515ad76d652e998fc1e88074e8cd820,numpy,24,0,0.0000,0.0000,0,dead,2876
numpy:f9e0771632428e7594ad3106019cc6cb96498b64,numpy,24,0,0.0000,0.0000,0,dead,2877
numpy:0fefb94edf3d30e4336a43df4f36bbf46a018da9,numpy,24,0,0.0000,0.0000,0,dead,2878
numpy:549756836095efed97ee73c82bb623674bb07df4,numpy,16,0,0.0000,0.0000,0,dead,2879
numpy:37ece45df248ec514b08bd8d2164a1b68eea6bc8,numpy,24,0,0.0000,0.0000,0,dead,2880
numpy:1e2cb50706c12c97396f311c3172963980d3e40c,numpy,16,0,0.0000,0.0000,0,dead,2881
numpy:c9052f05ac3a273141f1d222745a420b6b49ed6c,numpy,16,0,0.0000,0.0000,0,dead,2882
numpy:fa31422a411ef470fc38f9f11b4835911a626736,numpy,24,0,0.0000,0.0000,0,dead,2883
numpy:c9d61533f0a5a40ec0a38c69e19615d375af166e,numpy,24,0,0.0000,0.0000,0,dead,2884
numpy:8927415381c00ac5bf7aea5f473ce64a694170d8,numpy,24,0,0.0000,0.0000,0,dead,2885
numpy:6df0b6e2b79aad40715f933b561660f951693289,numpy,24,0,0.0000,0.0000,0,dead,2886
numpy:76f0eafbaba73815710612bddf4bf6eef682965d,numpy,24,0,0.0000,0.0000,0,dead,2887
numpy:a7c788c2dfcc9e44bab1ca69c1473785f31e3f70,numpy,24,0,0.0000,0.0000,0,dead,2888
numpy:91a86f6715604183741f84d429a3a5c2fc7d7e9e,numpy,24,0,0.0000,0.0000,0,dead,2889
numpy:14bcfd9cfe0deb4e6499b398d7eba4d7e3dd7fe8,numpy,24,0,0.0000,0.0000,0,dead,2890
numpy:9d9e5a143757a82f85415b17ec797ec9706ecf3a,numpy,24,0,0.0000,0.0000,0,dead,2891
numpy:0a133311b507151bb7506e9c6313b1d719c894ae,numpy,24,0,0.0000,0.0000,0,dead,2892
numpy:530c3eb948c50d24ce09232ec65a0496498ce74e,numpy,24,0,0.0000,0.0000,0,dead,2893
numpy:c3654ed5be26f20f385704dca5848e763a53648a,numpy,24,0,0.0000,0.0000,0,dead,2894
numpy:3694c17f670a2682bf4347982146c532657a1c03,numpy,24,0,0.0000,0.0000,0,dead,2895
numpy:c926d0a5b087fd7c2d0e91a54364b354f4720a39,numpy,24,0,0.0000,0.0000,0,dead,2896
numpy:292b9ff538ea4950c7380c76cf65d1a5b108b75c,numpy,24,0,0.0000,0.0000,0,dead,2897
numpy:05f422827b3317ad3774cbd1859edbf6bc196f75,numpy,24,0,0.0000,0.0000,0,dead,2898
numpy:b7a9378b113da2cb27f40c4f485ffeb225f5d01d,numpy,24,0,0.0000,0.0000,0,dead,2899
numpy:0e65b7166a6265a2047cb3ca47f487f3de19f0a6,numpy,24,0,0.0000,0.0000,0,dead,2900
numpy:41806abf15c442747b2ac66feb4246eb810ff96e,numpy,24,0,0.0000,0.0000,0,dead,2901
numpy:5db1c6a48c9bf626ad171caab6085eec5b7408ea,numpy,24,0,0.0000,0.0000,0,dead,2902
numpy:0bd86db79b7a8000f9dbd401df722ffae9c2b33c,numpy,16,0,0.0000,0.0000,0,dead,2903
numpy:389bd44e32b0eace0d024b126931a0a00d14cffe,numpy,24,0,0.0000,0.0000,0,dead,2904
numpy:ed805307a3a30e9990dca0a7cac73618fc6c3f21,numpy,24,0,0.0000,0.0000,0,dead,2905
numpy:170d1bbf566937452fd9bf14a84a69c9edb43277,numpy,16,0,0.0000,0.0000,0,dead,2906
numpy:709a06d0e9db862a8dd519db13724a4c59de7d69,numpy,16,0,0.0000,0.0000,0,dead,2907
numpy:968507bdfb4467d5ec6e3b6999a5717100782c3c,numpy,16,0,0.0000,0.0000,0,dead,2908
numpy:401ebbacb0924350c56362f2b75eaf887ba36671,numpy,24,0,0.0000,0.0000,0,dead,2909
numpy:849b81804fb7a11dc80821dbd166562225c8450f,numpy,24,0,0.0000,0.0000,0,dead,2910
numpy:ea9775606c8303a3fd65fdf21a4a02846cef971e,numpy,24,0,0.0000,0.0000,0,dead,2911
numpy:e25f7c9e314e79de6be5f17dc4c2c2be8ee9b753,numpy,24,0,0.0000,0.0000,0,dead,2912
numpy:1fccdccf9f326de5d4f0f2982f35ba4ead16156c,numpy,24,0,0.0000,0.0000,0,dead,2913
numpy:bd3a2c580e2d5f0a7a958b3e7d942c230648f2e3,numpy,24,0,0.0000,0.0000,0,dead,2914
numpy:320667d42b1d56f12d911dfcee05fc264d9d6edb,numpy,24,0,0.0000,0.0000,0,dead,2915
numpy:6cada27f1744d004a6d8ca7731c9a6d5dfed9b3a,numpy,24,0,0.0000,0.0000,0,dead,2916
numpy:be5ea7d92d542e7c7eb055c5831a79850f4bfbee,numpy,24,0,0.0000,0.0000,0,dead,2917
numpy:3b89f5227e7d8f8eddd2959982efb6739efdb729,numpy,16,0,0.0000,0.0000,0,dead,2918
numpy:619422b493eaf88c42373af1725ac0aa2297fa91,numpy,16,0,0.0000,0.0000,0,dead,2919
numpy:84b11f57335998e1c2c32e0b1b529ca94895253d,numpy,16,0,0.0000,0.0000,0,dead,2920
numpy:f457a1a9e9b5e5fff92dd5735052e7654b167de7,numpy,16,0,0.0000,0.0000,0,dead,2921
numpy:3461ea868bc7520d4569f7d61397044cf4e593d0,numpy,24,0,0.0000,0.0000,0,dead,2922
numpy:3337865dd9f1c6141199577a8a7a432551a04f9e,numpy,24,0,0.0000,0.0000,0,dead,2923
numpy:99015fa0e632181a8d8caf1905dd5caa2fe830d0,numpy,24,0,0.0000,0.0000,0,dead,2924
numpy:5fd25ab98c5834c6806564dfb2d937bd48933940,numpy,24,0,0.0000,0.0000,0,dead,2925
numpy:7693f9df2dab9dd5f27e9d2bb89c6f80341c6e61,numpy,16,0,0.0000,0.0000,0,dead,2926
numpy:433e6691113c4656cd939f94da4a837ed08e59a4,numpy,16,0,0.0000,0.0000,0,dead,2927
numpy:b49b20ff5c5154114eb41254cf449e195b5ba45e,numpy,24,0,0.0000,0.0000,0,dead,2928
numpy:22ae19366cf04a80d3e1ecc039d775656718a668,numpy,24,0,0.0000,0.0000,0,dead,2929
numpy:abfddda6487d7f9e8707afa93f82e9db4a73a852,numpy,16,0,0.0000,0.0000,0,dead,2930
numpy:63ecfb884d23a3edcddee55b2bc64582cf8db757,numpy,16,0,0.0000,0.0000,0,dead,2931
numpy:621b14e2e91bd8a3dd2746a6835040ca47109b65,numpy,16,0,0.0000,0.0000,0,dead,2932
numpy:92aa4080f2a925ff6d03d0b9f80460a53d4c111c,numpy,16,0,0.0000,0.0000,0,dead,2933
numpy:22d5415f4e5e2e7009ccd86ac7915ba43a0b7d97,numpy,8,0,0.0000,0.0000,0,dead,2934
numpy:21932fbfc217b4a8bc547fa267ea5597d7dcb59b,numpy,24,0,0.0000,0.0000,0,dead,2935
numpy:43e333e2ff641f6dce852e46c9c650333b0d4b3d,numpy,24,0,0.0000,0.0000,0,dead,2936
numpy:6171296a661065de0d40c7be4c12666fcfaafd2b,numpy,24,0,0.0000,0.0000,0,dead,2937
numpy:ddb12e3328bc16175afb6996e0a69b5a9508298a,numpy,24,0,0.0000,0.0000,0,dead,2938
numpy:bea761424753c0612a65a6a91d44f9a81bdc4c12,numpy,24,0,0.0000,0.0000,0,dead,2939
numpy:fe1c1fbac3dbd0d314b96ad95447e370dceae079,numpy,24,0,0.0000,0.0000,0,dead,2940
numpy:5caf4c932e43c47d73fad761e3257bb0d4551cc2,numpy,24,0,0.0000,0.0000,0,dead,2941
numpy:157e396673c4992e97a522dd9f350b480c4cb6c6,numpy,24,0,0.0000,0.0000,0,dead,2942
numpy:652892bf387344db6cd729fd5acbe4ac0c15b69c,numpy,24,0,0.0000,0.0000,0,dead,2943
numpy:efa1bd2c0de6cd9c07b410002f2e1c0bae8cf385,numpy,24,0,0.0000,0.0000,0,dead,2944
numpy:2b7fff08567fd1e06df66b8ad2b71959dee63070,numpy,24,0,0.0000,0.0000,0,dead,2945
numpy:4b82e29a18cd2c17b258bab0e2d937ab2157377b,numpy,24,0,0.0000,0.0000,0,dead,2946
numpy:4a5d02fe2879846404a2a3a5f347c4c4509ee6d9,numpy,24,0,0.0000,0.0000,0,dead,2947
numpy:9ae4a0d1ebc52a556ed13248172e8280ad9fc6bd,numpy,24,0,0.0000,0.0000,0,dead,2948
numpy:92d08dbcc9f489e54aeab8525b4b30f7b5d01ecf,numpy,24,0,0.0000,0.0000,0,dead,2949
numpy:3d5d12f186c7fe375d0b21f72b28a3bc87d25cc0,numpy,24,0,0.0000,0.0000,0,dead,2950
numpy:4c8376223c717ff63548f7fad65975f0a88eda41,numpy,24,0,0.0000,0.0000,0,dead,2951
numpy:6d3b34fed6d5c1af6eb02cd47d31ee48a15b582d,numpy,24,0,0.0000,0.0000,0,dead,2952
numpy:236ca8b7e989241d846ed5cac38ec87f3943c5d9,numpy,24,0,0.0000,0.0000,0,dead,2953
numpy:ad30b31af0bb3fbfdc0f11486807edc76cec2680,numpy,24,0,0.0000,0.0000,0,dead,2954
numpy:599dbade766ad3fecc82afa308803a2e0082c149,numpy,24,0,0.0000,0.0000,0,dead,2955
numpy:80c624e2d986f3bb1544be46906ed1a198594f59,numpy,24,0,0.0000,0.0000,0,dead,2956
numpy:171ea2a856e7b40d0806501613f7361e09f0a2f8,numpy,24,0,0.0000,0.0000,0,dead,2957
numpy:6ac4d6ded2dded576a5af12820fa49a961130468,numpy,24,0,0.0000,0.0000,0,dead,2958
numpy:3caf1223b9b8e4747fb7b41b2fbd2122ee175d03,numpy,24,0,0.0000,0.0000,0,dead,2959
